fecha,sensor_id,ambiente,pm1_ugm3,pm25_ugm3,pm10_ugm3
2024-11-01 00:00:00,31,INDOOR,151.6,269.3667,294.0667
2024-11-01 01:00:00,31,INDOOR,85.6333,150.6667,154.5
2024-11-01 02:00:00,31,INDOOR,48.8667,84.5333,87.5333
2024-11-01 03:00:00,31,INDOOR,32.9355,43.1613,64.9677
2024-11-01 04:00:00,31,INDOOR,26.3333,30.7,48.3333
2024-11-01 05:00:00,31,INDOOR,16.3333,19.3667,28.3333
2024-11-01 06:00:00,31,INDOOR,11.0,12.5333,17.3333
2024-11-01 07:00:00,31,INDOOR,7.0,7.7667,9.6667
2024-11-01 08:00:00,31,INDOOR,15.3333,10.3333,26.3333
2024-11-01 09:00:00,31,INDOOR,7.3333,8.5667,11.0
2024-11-01 10:00:00,31,INDOOR,4.0,5.1333,5.6667
2024-11-01 11:00:00,31,INDOOR,4.0,4.8333,5.6667
2024-11-01 12:00:00,31,INDOOR,3.0,3.8,4.3333
2024-11-01 13:00:00,31,INDOOR,3.3333,4.0333,4.3333
2024-11-01 14:00:00,31,INDOOR,3.6667,3.6333,5.0
2024-11-01 15:00:00,31,INDOOR,3.3333,3.8333,5.0
2024-11-01 16:00:00,31,INDOOR,3.3333,5.0667,5.3333
2024-11-01 17:00:00,31,INDOOR,3.6667,5.6667,6.3333
2024-11-01 18:00:00,31,INDOOR,3.6667,4.3,5.0
2024-11-01 19:00:00,31,INDOOR,7.0,7.8333,10.6667
2024-11-01 20:00:00,31,INDOOR,7.3333,9.7,11.0
2024-11-01 21:00:00,31,INDOOR,5.3333,7.5,8.6667
2024-11-01 22:00:00,31,INDOOR,5.0,6.4667,7.3333
2024-11-01 23:00:00,31,INDOOR,4.0,5.0333,6.3333
2024-11-02 00:00:00,31,INDOOR,2.6667,3.1,4.3333
2024-11-02 01:00:00,31,INDOOR,1.3333,1.9,2.6667
2024-11-02 02:00:00,31,INDOOR,1.0,0.9333,1.3333
2024-11-02 03:00:00,31,INDOOR,0.3333,0.5333,1.0
2024-11-02 04:00:00,31,INDOOR,0.6667,0.1333,1.0
2024-11-02 05:00:00,31,INDOOR,0.0,0.0333,0.3333
2024-11-02 06:00:00,31,INDOOR,0.0,0.0,0.0
2024-11-02 07:00:00,31,INDOOR,0.1667,0.1333,0.1667
2024-11-02 08:00:00,31,INDOOR,1.3333,1.2667,1.6667
2024-11-02 09:00:00,31,INDOOR,1.0,1.4333,2.5
2024-11-02 10:00:00,31,INDOOR,2.5,2.7,3.1667
2024-11-02 11:00:00,31,INDOOR,2.0,2.6207,2.6552
2024-11-02 12:00:00,31,INDOOR,2.4667,2.4667,3.6
2024-11-02 13:00:00,31,INDOOR,2.6667,3.2,4.3333
2024-11-02 14:00:00,31,INDOOR,2.8667,3.3,4.0667
2024-11-02 15:00:00,31,INDOOR,1.6154,2.8462,2.6154
2024-11-02 16:00:00,31,INDOOR,3.1667,3.2917,5.5
2024-11-02 17:00:00,31,INDOOR,4.0,4.5667,6.7333
2024-11-02 18:00:00,31,INDOOR,4.4667,5.8,7.2667
2024-11-02 19:00:00,31,INDOOR,5.0667,6.9333,7.9333
2024-11-02 20:00:00,31,INDOOR,3.4667,5.2,6.2
2024-11-02 21:00:00,31,INDOOR,4.3333,5.4,7.4
2024-11-02 22:00:00,31,INDOOR,4.4667,5.8,6.8
2024-11-02 23:00:00,31,INDOOR,4.2,5.5,6.9333
2024-11-03 00:00:00,31,INDOOR,4.1333,5.4333,5.9333
2024-11-03 01:00:00,31,INDOOR,3.7333,3.7,4.8
2024-11-03 02:00:00,31,INDOOR,3.3333,3.8,5.2667
2024-11-03 03:00:00,31,INDOOR,2.5333,3.9667,3.4
2024-11-03 04:00:00,31,INDOOR,2.6667,3.9333,3.8
2024-11-03 05:00:00,31,INDOOR,2.1333,3.3667,3.8667
2024-11-03 06:00:00,31,INDOOR,2.5333,2.6333,3.2
2024-11-03 07:00:00,31,INDOOR,1.2,1.5667,1.2
2024-11-03 08:00:00,31,INDOOR,0.3333,0.9333,1.3333
2024-11-03 09:00:00,31,INDOOR,1.2667,1.1667,1.6
2024-11-03 10:00:00,31,INDOOR,3.1333,2.5333,4.6
2024-11-03 11:00:00,31,INDOOR,3.3333,4.0333,4.6667
2024-11-03 12:00:00,31,INDOOR,10.8667,5.4667,16.3333
2024-11-03 13:00:00,31,INDOOR,6.2667,7.2333,9.0667
2024-11-03 14:00:00,31,INDOOR,3.5517,4.7586,5.7586
2024-11-03 15:00:00,31,INDOOR,1.5667,2.3333,2.4667
2024-11-03 16:00:00,31,INDOOR,1.1,1.7,2.4333
2024-11-03 17:00:00,31,INDOOR,1.5333,1.6,2.9667
2024-11-03 18:00:00,31,INDOOR,5.9,8.8,8.1667
2024-11-03 19:00:00,31,INDOOR,13.5333,19.4333,21.4
2024-11-03 20:00:00,31,INDOOR,13.6667,21.1,23.4333
2024-11-03 21:00:00,31,INDOOR,50.1,50.5,59.7
2024-11-03 22:00:00,31,INDOOR,51.5667,63.0667,67.8667
2024-11-03 23:00:00,31,INDOOR,28.2667,38.3333,43.8333
2024-11-04 00:00:00,31,INDOOR,17.3,24.3333,22.3667
2024-11-04 01:00:00,31,INDOOR,10.0667,12.9,13.4
2024-11-04 02:00:00,31,INDOOR,6.1333,7.5667,7.9333
2024-11-04 03:00:00,31,INDOOR,3.7,4.4333,5.0333
2024-11-04 04:00:00,31,INDOOR,1.2333,2.2667,2.2333
2024-11-04 05:00:00,31,INDOOR,1.4333,1.7667,2.4333
2024-11-04 06:00:00,31,INDOOR,1.8667,1.7,3.1667
2024-11-04 07:00:00,31,INDOOR,4.3333,4.5667,7.7
2024-11-04 08:00:00,31,INDOOR,6.6333,9.0,10.0667
2024-11-04 09:00:00,31,INDOOR,7.9,10.1333,11.1
2024-11-04 10:00:00,31,INDOOR,10.5333,14.3,18.5333
2024-11-04 11:00:00,31,INDOOR,7.3667,10.3667,11.0333
2024-11-04 12:00:00,31,INDOOR,5.6667,6.8667,8.3667
2024-11-04 13:00:00,31,INDOOR,4.7667,5.2667,6.1
2024-11-04 14:00:00,31,INDOOR,4.8,6.3333,7.1
2024-11-04 15:00:00,31,INDOOR,5.8667,7.7,9.1
2024-11-04 16:00:00,31,INDOOR,9.3,11.8667,14.0333
2024-11-04 17:00:00,31,INDOOR,9.3333,12.9,15.0333
2024-11-04 18:00:00,31,INDOOR,7.3667,9.5,10.8333
2024-11-04 19:00:00,31,INDOOR,62.3333,58.3,83.4
2024-11-04 20:00:00,31,INDOOR,95.5172,129.0345,132.6897
2024-11-04 21:00:00,31,INDOOR,54.8667,91.2667,84.4667
2024-11-04 22:00:00,31,INDOOR,28.0667,43.1667,50.4667
2024-11-04 23:00:00,31,INDOOR,20.5333,28.1667,31.4667
2024-11-05 00:00:00,31,INDOOR,14.8667,23.2667,22.8667
2024-11-05 01:00:00,31,INDOOR,10.5333,16.6667,18.2667
2024-11-05 02:00:00,31,INDOOR,4.4667,7.0333,6.4
2024-11-05 03:00:00,31,INDOOR,2.4667,3.3,3.4
2024-11-05 04:00:00,31,INDOOR,1.0,2.2667,1.6667
2024-11-05 05:00:00,31,INDOOR,1.2,1.2333,1.6667
2024-11-05 06:00:00,31,INDOOR,4.4667,5.5333,7.2
2024-11-05 07:00:00,31,INDOOR,19.2,17.1333,32.2667
2024-11-05 08:00:00,31,INDOOR,16.4,22.6333,26.8667
2024-11-05 09:00:00,31,INDOOR,14.6,19.4333,21.5333
2024-11-05 10:00:00,31,INDOOR,13.1333,19.9333,20.3333
2024-11-05 11:00:00,31,INDOOR,23.0,31.7667,40.0667
2024-11-05 12:00:00,31,INDOOR,14.9333,22.6333,22.5333
2024-11-05 13:00:00,31,INDOOR,8.8,10.9667,13.2
2024-11-05 14:00:00,31,INDOOR,11.8667,16.5,16.5333
2024-11-05 15:00:00,31,INDOOR,6.7333,9.9333,10.6667
2024-11-05 16:00:00,31,INDOOR,4.9333,6.7667,8.8667
2024-11-05 17:00:00,31,INDOOR,5.0667,7.6,10.0667
2024-11-05 18:00:00,31,INDOOR,7.1333,8.5667,10.4667
2024-11-05 19:00:00,31,INDOOR,18.2667,29.0,26.7333
2024-11-05 20:00:00,31,INDOOR,16.0667,21.2333,23.4
2024-11-05 21:00:00,31,INDOOR,11.2,17.1,16.7333
2024-11-05 22:00:00,31,INDOOR,10.1333,12.5667,13.1333
2024-11-05 23:00:00,31,INDOOR,6.1333,9.0,8.8
2024-11-06 00:00:00,31,INDOOR,4.2105,4.7632,6.1579
2024-11-06 01:00:00,31,INDOOR,3.0,3.7,4.3333
2024-11-06 02:00:00,31,INDOOR,1.6667,2.0333,2.3333
2024-11-06 03:00:00,31,INDOOR,1.0,1.2258,1.3548
2024-11-06 04:00:00,31,INDOOR,0.3,1.0,0.9667
2024-11-06 05:00:00,31,INDOOR,0.0,0.1333,0.6667
2024-11-06 06:00:00,31,INDOOR,1.5385,1.7179,2.2821
2024-11-06 07:00:00,31,INDOOR,5.3333,6.7,8.6667
2024-11-06 08:00:00,31,INDOOR,100.3333,149.2667,138.0
2024-11-06 09:00:00,31,INDOOR,41.6667,58.5333,66.0
2024-11-06 10:00:00,31,INDOOR,22.3333,32.3333,33.3333
2024-11-06 11:00:00,31,INDOOR,11.6667,16.3333,16.0
2024-11-06 12:00:00,31,INDOOR,6.3333,8.2,8.3333
2024-11-06 13:00:00,31,INDOOR,4.0,4.9667,5.3333
2024-11-06 14:00:00,31,INDOOR,2.0,2.8,2.6667
2024-11-06 15:00:00,31,INDOOR,1.6667,1.4,2.3333
2024-11-06 16:00:00,31,INDOOR,0.6667,1.5667,1.6667
2024-11-06 17:00:00,31,INDOOR,1.3333,2.6,3.0
2024-11-06 18:00:00,31,INDOOR,4.6667,5.4,7.3333
2024-11-06 19:00:00,31,INDOOR,12.6667,16.2667,21.0
2024-11-06 20:00:00,31,INDOOR,11.3333,14.9667,16.3333
2024-11-06 21:00:00,31,INDOOR,14.0,16.2,21.0
2024-11-06 22:00:00,31,INDOOR,16.6667,20.6,22.6667
2024-11-06 23:00:00,31,INDOOR,14.3333,18.8667,19.3333
2024-11-07 00:00:00,31,INDOOR,13.0,18.6,19.6667
2024-11-07 01:00:00,31,INDOOR,10.6667,13.9667,15.6667
2024-11-07 02:00:00,31,INDOOR,10.0,13.8333,13.6667
2024-11-07 03:00:00,31,INDOOR,4.0,6.2,6.0
2024-11-07 04:00:00,31,INDOOR,6.6667,11.0667,11.0
2024-11-07 05:00:00,31,INDOOR,2.0,4.8,4.0
2024-11-07 06:00:00,31,INDOOR,14.0,13.6,20.3333
2024-11-07 07:00:00,31,INDOOR,15.0,20.7667,23.0
2024-11-07 08:00:00,31,INDOOR,9.6667,15.1333,17.3333
2024-11-07 09:00:00,31,INDOOR,9.0,12.5667,14.0
2024-11-07 10:00:00,31,INDOOR,6.6667,8.8,10.0
2024-11-07 11:00:00,31,INDOOR,6.0,7.4333,7.6667
2024-11-07 12:00:00,31,INDOOR,4.3333,6.2333,5.3333
2024-11-07 13:00:00,31,INDOOR,4.0,6.2,6.3333
2024-11-07 14:00:00,31,INDOOR,7.0,6.5667,11.0
2024-11-07 15:00:00,31,INDOOR,21.3333,31.4,31.0
2024-11-07 16:00:00,31,INDOOR,14.0,19.2667,19.0
2024-11-07 17:00:00,31,INDOOR,10.0,13.8333,14.6667
2024-11-07 18:00:00,31,INDOOR,8.0,9.9667,12.3333
2024-11-07 19:00:00,31,INDOOR,6.0,9.9333,9.3333
2024-11-07 20:00:00,31,INDOOR,5.3333,7.3667,7.0
2024-11-07 21:00:00,31,INDOOR,4.6667,5.2,6.6667
2024-11-07 22:00:00,31,INDOOR,3.0,3.1667,3.6667
2024-11-07 23:00:00,31,INDOOR,2.6667,4.9667,5.0
2024-11-08 00:00:00,31,INDOOR,3.6667,6.3,7.3333
2024-11-08 01:00:00,31,INDOOR,2.0,2.9,3.6667
2024-11-08 02:00:00,31,INDOOR,1.0,1.1667,2.0
2024-11-08 03:00:00,31,INDOOR,0.0,0.2333,1.3333
2024-11-08 04:00:00,31,INDOOR,0.0,0.0,0.0
2024-11-08 05:00:00,31,INDOOR,0.0,0.0,0.0
2024-11-08 06:00:00,31,INDOOR,0.0,0.0,0.0
2024-11-08 07:00:00,31,INDOOR,5.6667,9.0667,9.0
2024-11-08 08:00:00,31,INDOOR,48.3333,61.0667,78.0
2024-11-08 09:00:00,31,INDOOR,30.0,43.0667,54.3333
2024-11-08 10:00:00,31,INDOOR,19.6667,28.3667,30.0
2024-11-08 11:00:00,31,INDOOR,8.4138,13.5862,11.4483
2024-11-08 12:00:00,31,INDOOR,6.0667,6.1333,8.7667
2024-11-08 13:00:00,31,INDOOR,3.3667,3.9667,5.0333
2024-11-08 14:00:00,31,INDOOR,1.7333,2.4,3.0333
2024-11-08 15:00:00,31,INDOOR,1.9667,2.6,2.7
2024-11-08 16:00:00,31,INDOOR,0.7333,1.6,1.3667
2024-11-08 17:00:00,31,INDOOR,1.9333,2.1333,2.2667
2024-11-08 18:00:00,31,INDOOR,5.8,6.9333,8.3
2024-11-08 19:00:00,31,INDOOR,11.3667,17.7333,17.1667
2024-11-08 20:00:00,31,INDOOR,10.7333,15.7667,16.8667
2024-11-08 21:00:00,31,INDOOR,17.7,28.6333,28.0667
2024-11-08 22:00:00,31,INDOOR,8.4667,10.5,12.2
2024-11-08 23:00:00,31,INDOOR,7.5667,12.2667,11.3333
2024-11-09 00:00:00,31,INDOOR,4.2667,5.1667,6.2333
2024-11-09 01:00:00,31,INDOOR,3.7333,4.9,6.1
2024-11-09 02:00:00,31,INDOOR,2.6667,4.3333,5.6333
2024-11-09 03:00:00,31,INDOOR,1.4,1.9667,2.1667
