fecha,sensor_id,ambiente,pm1_ugm3,pm25_ugm3,pm10_ugm3
2026-02-01 00:00:00,32,INDOOR,6.0833,7.85,9.75
2026-02-01 01:00:00,32,INDOOR,7.4167,10.85,11.4167
2026-02-01 02:00:00,32,INDOOR,7.0,10.2667,11.9167
2026-02-01 03:00:00,32,INDOOR,7.4167,10.65,11.75
2026-02-01 04:00:00,32,INDOOR,7.1667,11.3833,12.6667
2026-02-01 05:00:00,32,INDOOR,6.9167,9.7667,12.0
2026-02-01 06:00:00,32,INDOOR,6.75,10.35,12.25
2026-02-01 07:00:00,32,INDOOR,6.5833,10.4667,12.0833
2026-02-01 08:00:00,32,INDOOR,6.5833,9.5667,10.75
2026-02-01 09:00:00,32,INDOOR,7.5833,11.05,12.3333
2026-02-01 10:00:00,32,INDOOR,7.4167,11.1833,11.6667
2026-02-01 11:00:00,32,INDOOR,7.25,9.75,10.3333
2026-02-01 12:00:00,32,INDOOR,8.5833,11.75,12.5
2026-02-01 13:00:00,32,INDOOR,7.4167,9.5833,11.3333
2026-02-01 14:00:00,32,INDOOR,5.9167,8.1667,7.6667
2026-02-01 15:00:00,32,INDOOR,8.3333,10.3667,11.25
2026-02-01 16:00:00,32,INDOOR,8.75,10.9833,11.8333
2026-02-01 17:00:00,32,INDOOR,5.4167,6.9167,7.5
2026-02-01 18:00:00,32,INDOOR,3.75,5.8,6.0
2026-02-01 19:00:00,32,INDOOR,4.3333,5.8667,6.5833
2026-02-01 20:00:00,32,INDOOR,4.3333,5.85,6.25
2026-02-01 21:00:00,32,INDOOR,6.3333,6.1667,8.4167
2026-02-01 22:00:00,32,INDOOR,4.4167,5.2333,5.8333
2026-02-01 23:00:00,32,INDOOR,3.75,5.0833,5.5833
2026-02-02 00:00:00,32,INDOOR,4.3333,5.2,6.3333
2026-02-02 01:00:00,32,INDOOR,3.4167,4.2333,4.9167
2026-02-02 02:00:00,32,INDOOR,4.75,6.75,7.9167
2026-02-02 03:00:00,32,INDOOR,3.5833,5.35,6.4167
2026-02-02 04:00:00,32,INDOOR,2.9167,5.15,5.5
2026-02-02 05:00:00,32,INDOOR,3.0833,4.8167,6.25
2026-02-02 06:00:00,32,INDOOR,3.0,4.15,5.3333
2026-02-02 07:00:00,32,INDOOR,3.5,4.5667,5.8333
2026-02-02 08:00:00,32,INDOOR,3.3333,4.85,5.8333
2026-02-02 09:00:00,32,INDOOR,0.75,1.4,1.4167
2026-02-02 10:00:00,32,INDOOR,0.1667,0.0167,0.3333
2026-02-02 11:00:00,32,INDOOR,0.9167,0.65,1.5
2026-02-02 12:00:00,32,INDOOR,1.3333,1.9333,2.25
2026-02-02 13:00:00,32,INDOOR,1.3333,1.1333,1.6667
2026-02-02 14:00:00,32,INDOOR,2.4167,1.65,2.9167
2026-02-02 15:00:00,32,INDOOR,2.5,3.3,3.4167
2026-02-02 16:00:00,32,INDOOR,2.6667,3.4667,3.8333
2026-02-02 17:00:00,32,INDOOR,2.4167,2.9,3.4167
2026-02-02 18:00:00,32,INDOOR,1.4167,1.95,2.25
2026-02-02 19:00:00,32,INDOOR,1.3333,1.9333,2.3333
2026-02-02 20:00:00,32,INDOOR,1.9167,2.0667,2.5833
2026-02-02 21:00:00,32,INDOOR,1.5,2.2333,2.75
2026-02-02 22:00:00,32,INDOOR,1.5833,1.8333,2.9167
2026-02-02 23:00:00,32,INDOOR,1.9167,2.4,3.4167
2026-02-03 00:00:00,32,INDOOR,3.0833,2.9167,4.3333
2026-02-03 01:00:00,32,INDOOR,1.5,1.8,1.75
2026-02-03 02:00:00,32,INDOOR,2.0833,2.5833,3.0833
2026-02-03 03:00:00,32,INDOOR,1.1667,2.35,2.1667
2026-02-03 04:00:00,32,INDOOR,0.6667,0.6833,1.0
2026-02-03 05:00:00,32,INDOOR,0.5833,0.8667,1.25
2026-02-03 06:00:00,32,INDOOR,2.25,2.1,3.4167
2026-02-03 07:00:00,32,INDOOR,1.9167,1.9167,3.1667
2026-02-03 08:00:00,32,INDOOR,2.3333,2.5,3.6667
2026-02-03 09:00:00,32,INDOOR,1.0,1.1667,1.5
2026-02-03 10:00:00,32,INDOOR,0.5833,0.4333,1.3333
2026-02-03 11:00:00,32,INDOOR,0.3333,0.1667,0.75
2026-02-03 12:00:00,32,INDOOR,0.25,0.1,0.3333
2026-02-03 13:00:00,32,INDOOR,0.6667,0.2833,1.0833
2026-02-03 14:00:00,32,INDOOR,0.5455,0.4909,1.0
2026-02-03 15:00:00,32,INDOOR,0.7273,0.5273,1.5455
2026-02-03 16:00:00,32,INDOOR,0.5,0.1833,0.8333
2026-02-03 17:00:00,32,INDOOR,0.3333,0.3167,0.8333
2026-02-03 18:00:00,32,INDOOR,0.9167,0.7667,1.3333
2026-02-03 19:00:00,32,INDOOR,0.8333,1.0667,1.5833
2026-02-03 20:00:00,32,INDOOR,0.8333,1.5667,1.5833
2026-02-03 21:00:00,32,INDOOR,1.75,2.1333,2.5833
2026-02-03 22:00:00,32,INDOOR,1.3333,1.9333,2.5833
2026-02-03 23:00:00,32,INDOOR,2.1667,2.0,3.0833
2026-02-04 00:00:00,32,INDOOR,2.3333,2.9,3.9167
2026-02-04 01:00:00,32,INDOOR,1.75,2.3833,3.0833
2026-02-04 02:00:00,32,INDOOR,2.5833,3.3833,4.4167
2026-02-04 03:00:00,32,INDOOR,2.8333,3.8333,5.0833
2026-02-04 04:00:00,32,INDOOR,3.1667,4.2,5.5
2026-02-04 05:00:00,32,INDOOR,3.5,4.9167,5.75
2026-02-04 06:00:00,32,INDOOR,4.0833,5.5,6.5
2026-02-04 07:00:00,32,INDOOR,4.0,5.15,6.4167
2026-02-04 08:00:00,32,INDOOR,3.0833,4.7667,5.1667
2026-02-04 09:00:00,32,INDOOR,2.1667,3.5,3.5833
2026-02-04 10:00:00,32,INDOOR,3.0,3.5833,4.5
2026-02-04 11:00:00,32,INDOOR,2.3333,3.2,3.1667
2026-02-04 12:00:00,32,INDOOR,2.5833,2.8,3.9167
2026-02-04 13:00:00,32,INDOOR,1.5833,2.0,2.5833
2026-02-04 14:00:00,32,INDOOR,1.3333,1.1,2.0
2026-02-04 15:00:00,32,INDOOR,0.75,0.9333,1.5833
2026-02-04 16:00:00,32,INDOOR,2.75,3.05,4.0
2026-02-04 17:00:00,32,INDOOR,2.3333,3.3667,3.8333
2026-02-04 18:00:00,32,INDOOR,2.75,3.45,4.5
2026-02-04 19:00:00,32,INDOOR,2.6667,3.0667,4.25
2026-02-04 20:00:00,32,INDOOR,2.6667,3.1833,4.0833
2026-02-04 21:00:00,32,INDOOR,3.5,4.2333,5.75
2026-02-04 22:00:00,32,INDOOR,2.9167,4.5167,5.25
2026-02-04 23:00:00,32,INDOOR,4.0833,6.2,7.0833
2026-02-05 00:00:00,32,INDOOR,5.8333,7.9667,8.6667
2026-02-05 01:00:00,32,INDOOR,3.6667,5.35,5.4167
2026-02-05 02:00:00,32,INDOOR,3.75,5.0,5.5
2026-02-05 03:00:00,32,INDOOR,2.75,3.5667,4.5
2026-02-05 04:00:00,32,INDOOR,3.8333,5.0167,6.75
2026-02-05 05:00:00,32,INDOOR,4.5833,6.7667,7.5833
2026-02-05 06:00:00,32,INDOOR,11.0,15.2,16.4167
2026-02-05 07:00:00,32,INDOOR,7.75,10.6,12.0
2026-02-05 08:00:00,32,INDOOR,6.1667,9.85,9.5833
2026-02-05 09:00:00,32,INDOOR,4.25,6.4167,7.0833
2026-02-05 10:00:00,32,INDOOR,4.0,5.7333,5.5
2026-02-05 11:00:00,32,INDOOR,4.3333,4.7833,5.8333
2026-02-05 12:00:00,32,INDOOR,4.1667,5.0667,6.3333
2026-02-05 13:00:00,32,INDOOR,3.25,4.7167,5.4167
2026-02-05 14:00:00,32,INDOOR,3.5,4.8,5.5
2026-02-05 15:00:00,32,INDOOR,5.2712,5.5085,7.3559
2026-02-05 16:00:00,32,INDOOR,2.7667,4.1333,4.6
2026-02-05 17:00:00,32,INDOOR,3.1667,4.0333,4.6
2026-02-05 18:00:00,32,INDOOR,2.5333,3.3667,4.3667
2026-02-05 19:00:00,32,INDOOR,2.5667,3.2,3.9
2026-02-05 20:00:00,32,INDOOR,3.0667,4.0333,4.0667
2026-02-05 21:00:00,32,INDOOR,4.2667,5.15,6.1667
2026-02-05 22:00:00,32,INDOOR,5.7,7.575,7.7
