fecha,sensor_id,ambiente,pm1_ugm3,pm25_ugm3,pm10_ugm3
2025-10-01 00:00:00,32,INDOOR,5.5,7.4167,8.3333
2025-10-01 01:00:00,32,INDOOR,4.6833,6.0167,7.5167
2025-10-01 02:00:00,32,INDOOR,3.1833,4.5333,5.0
2025-10-01 03:00:00,32,INDOOR,2.6667,3.9167,4.65
2025-10-01 04:00:00,32,INDOOR,2.6833,3.4667,4.05
2025-10-01 05:00:00,32,INDOOR,3.3333,3.6833,4.4833
2025-10-01 06:00:00,32,INDOOR,2.9833,3.9167,5.3333
2025-10-01 07:00:00,32,INDOOR,2.1833,3.35,3.35
2025-10-01 08:00:00,32,INDOOR,3.8,4.0,5.2833
2025-10-01 09:00:00,32,INDOOR,3.1667,4.15,5.0167
2025-10-01 10:00:00,32,INDOOR,4.3167,5.1833,6.6333
2025-10-01 11:00:00,32,INDOOR,8.9,10.8833,12.9833
2025-10-01 12:00:00,32,INDOOR,8.7,12.0667,13.4167
2025-10-01 13:00:00,32,INDOOR,6.0833,7.8,8.95
2025-10-01 14:00:00,32,INDOOR,6.2667,8.05,9.5667
2025-10-01 15:00:00,32,INDOOR,5.6333,6.3667,8.4833
2025-10-01 16:00:00,32,INDOOR,6.1,8.2,7.9667
2025-10-01 17:00:00,32,INDOOR,3.1833,4.3833,5.65
2025-10-01 18:00:00,32,INDOOR,5.0667,6.1,7.5667
2025-10-01 19:00:00,32,INDOOR,11.7833,14.9,16.8833
2025-10-01 20:00:00,32,INDOOR,21.15,31.4833,38.3
2025-10-01 21:00:00,32,INDOOR,27.1017,41.4237,49.6441
2025-10-01 22:00:00,32,INDOOR,31.7667,45.2167,56.9
2025-10-01 23:00:00,32,INDOOR,29.8333,46.45,55.7667
2025-10-02 00:00:00,32,INDOOR,29.5333,43.4667,54.4
2025-10-02 01:00:00,32,INDOOR,26.0667,38.8,46.3333
2025-10-02 02:00:00,32,INDOOR,17.2333,27.0667,25.6
2025-10-02 03:00:00,32,INDOOR,18.9,26.15,31.2333
2025-10-02 04:00:00,32,INDOOR,15.9,23.45,24.9
2025-10-02 05:00:00,32,INDOOR,7.5,11.7167,11.4667
