fecha,sensor_id,ambiente,pm1_ugm3,pm25_ugm3,pm10_ugm3
2024-09-01 19:00:00,30,INDOOR,46.0,58.3,75.0
2024-09-01 20:00:00,30,INDOOR,57.3333,89.7667,86.6667
2024-09-01 21:00:00,30,INDOOR,51.75,61.3,78.75
2024-09-01 22:00:00,30,INDOOR,42.3333,61.6,68.6667
2024-09-01 23:00:00,30,INDOOR,32.0,46.65,58.0
2024-09-05 20:00:00,30,INDOOR,16.3333,16.1,24.6667
2024-09-05 21:00:00,30,INDOOR,5.3333,7.8333,7.6667
2024-09-10 19:00:00,30,INDOOR,101.3333,154.1333,154.6667
2024-09-10 20:00:00,30,INDOOR,40.0,61.25,67.5
